Symbol	EntrezID	Family	Species	Protein_have_DBD
ZNF576	79177	zf-C2H2	Homo sapiens	zinc finger protein 576 (ZNF576)
ZNF577	84765	zf-C2H2	Homo sapiens	zinc finger protein 577 (ZNF577)
ZNF578	147660	zf-C2H2	Homo sapiens	zinc finger protein 578 (ZNF578)
ZNF579	163033	zf-C2H2	Homo sapiens	zinc finger protein 579 (ZNF579)
ZNF580	51157	zf-C2H2	Homo sapiens	zinc finger protein 580 (ZNF580)
ZNF581	51545	zf-C2H2	Homo sapiens	zinc finger protein 581 (ZNF581)
ZNF582	147948	zf-C2H2	Homo sapiens	zinc finger protein 582 (ZNF582)
ZNF583	147949	zf-C2H2	Homo sapiens	zinc finger protein 583 (ZNF583)
ZNF584	201514	zf-C2H2	Homo sapiens	zinc finger protein 584 (ZNF584)
ZNF585A	199704	zf-C2H2	Homo sapiens	zinc finger protein 585A (ZNF585A)
ZNF585B	92285	zf-C2H2	Homo sapiens	zinc finger protein 585B (ZNF585B)
ZNF586	54807	zf-C2H2	Homo sapiens	zinc finger protein 586 (ZNF586)
ZNF587	84914	zf-C2H2	Homo sapiens	zinc finger protein 587 (ZNF587)
ZNF587B	100293516	zf-C2H2	Homo sapiens	zinc finger protein 587B (ZNF587B)
ZNF589	51385	zf-C2H2	Homo sapiens	zinc finger protein 589 (ZNF589)
ZNF594	84622	zf-C2H2	Homo sapiens	zinc finger protein 594 (ZNF594)
ZNF595	152687	zf-C2H2	Homo sapiens	zinc finger protein 595 (ZNF595)
ZNF596	169270	zf-C2H2	Homo sapiens	zinc finger protein 596 (ZNF596)
ZNF597	146434	zf-C2H2	Homo sapiens	zinc finger protein 597 (ZNF597)
ZNF599	148103	zf-C2H2	Homo sapiens	zinc finger protein 599 (ZNF599)
ZNF600	162966	zf-C2H2	Homo sapiens	zinc finger protein 600 (ZNF600)
ZNF605	100289635	zf-C2H2	Homo sapiens	zinc finger protein 605 (ZNF605)
ZNF606	80095	zf-C2H2	Homo sapiens	zinc finger protein 606 (ZNF606)
ZNF607	84775	zf-C2H2	Homo sapiens	zinc finger protein 607 (ZNF607)
ZNF610	162963	zf-C2H2	Homo sapiens	zinc finger protein 610 (ZNF610)
ZNF611	81856	zf-C2H2	Homo sapiens	zinc finger protein 611 (ZNF611)
ZNF613	79898	zf-C2H2	Homo sapiens	zinc finger protein 613 (ZNF613)
ZNF614	80110	zf-C2H2	Homo sapiens	zinc finger protein 614 (ZNF614)
ZNF615	284370	zf-C2H2	Homo sapiens	zinc finger protein 615 (ZNF615)
ZNF616	90317	zf-C2H2	Homo sapiens	zinc finger protein 616 (ZNF616)
ZNF618	114991	zf-C2H2	Homo sapiens	zinc finger protein 618 (ZNF618)
ZNF619	285267	zf-C2H2	Homo sapiens	zinc finger protein 619 (ZNF619)
ZNF620	253639	zf-C2H2	Homo sapiens	zinc finger protein 620 (ZNF620)
ZNF621	285268	zf-C2H2	Homo sapiens	zinc finger protein 621 (ZNF621)
ZNF623	9831	zf-C2H2	Homo sapiens	zinc finger protein 623 (ZNF623)
ZNF624	57547	zf-C2H2	Homo sapiens	zinc finger protein 624 (ZNF624)
ZNF625	90589	zf-C2H2	Homo sapiens	zinc finger protein 625 (ZNF625)
ZNF626	199777	zf-C2H2	Homo sapiens	zinc finger protein 626 (ZNF626)
ZNF627	199692	zf-C2H2	Homo sapiens	zinc finger protein 627 (ZNF627)
ZNF628	89887	zf-C2H2	Homo sapiens	zinc finger protein 628 (ZNF628)
ZNF629	23361	zf-C2H2	Homo sapiens	zinc finger protein 629 (ZNF629)
ZNF630	57232	zf-C2H2	Homo sapiens	zinc finger protein 630 (ZNF630)
ZNF639	51193	zf-C2H2	Homo sapiens	zinc finger protein 639 (ZNF639)
ZNF641	121274	zf-C2H2	Homo sapiens	zinc finger protein 641 (ZNF641)
ZNF646	9726	zf-C2H2	Homo sapiens	zinc finger protein 646 (ZNF646)
ZNF648	127665	zf-C2H2	Homo sapiens	zinc finger protein 648 (ZNF648)
ZNF649	65251	zf-C2H2	Homo sapiens	zinc finger protein 649 (ZNF649)
ZNF652	22834	zf-C2H2	Homo sapiens	zinc finger protein 652 (ZNF652)
ZNF653	115950	zf-C2H2	Homo sapiens	zinc finger protein 653 (ZNF653)
ZNF654	55279	zf-C2H2	Homo sapiens	zinc finger protein 654 (ZNF654)
ZNF655	79027	zf-C2H2	Homo sapiens	zinc finger protein 655 (ZNF655)
ZNF658	26149	zf-C2H2	Homo sapiens	zinc finger protein 658 (ZNF658)
ZNF660	285349	zf-C2H2	Homo sapiens	zinc finger protein 660 (ZNF660)
ZNF662	389114	zf-C2H2	Homo sapiens	zinc finger protein 662 (ZNF662)
ZNF664	144348	zf-C2H2	Homo sapiens	zinc finger protein 664 (ZNF664)
ZNF665	79788	zf-C2H2	Homo sapiens	zinc finger protein 665 (ZNF665)
ZNF667	63934	zf-C2H2	Homo sapiens	zinc finger protein 667 (ZNF667)
ZNF668	79759	zf-C2H2	Homo sapiens	zinc finger protein 668 (ZNF668)
ZNF669	79862	zf-C2H2	Homo sapiens	zinc finger protein 669 (ZNF669)
ZNF670	93474	zf-C2H2	Homo sapiens	zinc finger protein 670 (ZNF670)
ZNF671	79891	zf-C2H2	Homo sapiens	zinc finger protein 671 (ZNF671)
ZNF672	79894	zf-C2H2	Homo sapiens	zinc finger protein 672 (ZNF672)
ZNF674	641339	zf-C2H2	Homo sapiens	zinc finger protein 674 (ZNF674)
ZNF675	171392	zf-C2H2	Homo sapiens	zinc finger protein 675 (ZNF675)
ZNF676	163223	zf-C2H2	Homo sapiens	zinc finger protein 676 (ZNF676)
ZNF677	342926	zf-C2H2	Homo sapiens	zinc finger protein 677 (ZNF677)
ZNF678	339500	zf-C2H2	Homo sapiens	zinc finger protein 678 (ZNF678)
ZNF679	168417	zf-C2H2	Homo sapiens	zinc finger protein 679 (ZNF679)
ZNF680	340252	zf-C2H2	Homo sapiens	zinc finger protein 680 (ZNF680)
ZNF681	148213	zf-C2H2	Homo sapiens	zinc finger protein 681 (ZNF681)
ZNF682	91120	zf-C2H2	Homo sapiens	zinc finger protein 682 (ZNF682)
ZNF683	257101	zf-C2H2	Homo sapiens	zinc finger protein 683 (ZNF683)
ZNF684	127396	zf-C2H2	Homo sapiens	zinc finger protein 684 (ZNF684)
ZNF687	57592	zf-C2H2	Homo sapiens	zinc finger protein 687 (ZNF687)
ZNF688	146542	zf-C2H2	Homo sapiens	zinc finger protein 688 (ZNF688)
ZNF689	115509	zf-C2H2	Homo sapiens	zinc finger protein 689 (ZNF689)
ZNF69	7620	zf-C2H2	Homo sapiens	zinc finger protein 69 (ZNF69)
ZNF691	51058	zf-C2H2	Homo sapiens	zinc finger protein 691 (ZNF691)
ZNF692	55657	zf-C2H2	Homo sapiens	zinc finger protein 692 (ZNF692)
ZNF695	57116	zf-C2H2	Homo sapiens	zinc finger protein 695 (ZNF695)
ZNF696	79943	zf-C2H2	Homo sapiens	zinc finger protein 696 (ZNF696)
ZNF697	90874	zf-C2H2	Homo sapiens	zinc finger protein 697 (ZNF697)
ZNF699	374879	zf-C2H2	Homo sapiens	zinc finger protein 699 (ZNF699)
ZNF7	7553	zf-C2H2	Homo sapiens	zinc finger protein 7 (ZNF7)
ZNF70	7621	zf-C2H2	Homo sapiens	zinc finger protein 70 (ZNF70)
ZNF700	90592	zf-C2H2	Homo sapiens	zinc finger protein 700 (ZNF700)
ZNF701	55762	zf-C2H2	Homo sapiens	zinc finger protein 701 (ZNF701)
ZNF705A	440077	zf-C2H2	Homo sapiens	zinc finger protein 705A (ZNF705A)
ZNF705B	100132396	zf-C2H2	Homo sapiens	zinc finger protein 705B (ZNF705B)
ZNF705D	728957	zf-C2H2	Homo sapiens	zinc finger protein 705D (ZNF705D)
ZNF705G	100131980	zf-C2H2	Homo sapiens	zinc finger protein 705G (ZNF705G)
ZNF707	286075	zf-C2H2	Homo sapiens	zinc finger protein 707 (ZNF707)
ZNF708	7562	zf-C2H2	Homo sapiens	zinc finger protein 708 (ZNF708)
ZNF709	163051	zf-C2H2	Homo sapiens	zinc finger protein 709 (ZNF709)
ZNF71	58491	zf-C2H2	Homo sapiens	zinc finger protein 71 (ZNF71)
ZNF710	374655	zf-C2H2	Homo sapiens	zinc finger protein 710 (ZNF710)
ZNF711	7552	zf-C2H2	Homo sapiens	zinc finger protein 711 (ZNF711)
ZNF713	349075	zf-C2H2	Homo sapiens	zinc finger protein 713 (ZNF713)
ZNF714	148206	zf-C2H2	Homo sapiens	zinc finger protein 714 (ZNF714)
ZNF716	441234	zf-C2H2	Homo sapiens	zinc finger protein 716 (ZNF716)
ZNF717	100131827	zf-C2H2	Homo sapiens	zinc finger protein 717 (ZNF717)
ZNF720	124411	zf-C2H2	Homo sapiens	zinc finger protein 720 (ZNF720)
ZNF721	170960	zf-C2H2	Homo sapiens	zinc finger protein 721 (ZNF721)
ZNF726	730087	zf-C2H2	Homo sapiens	zinc finger protein 726 (ZNF726)
ZNF727	442319	zf-C2H2	Homo sapiens	zinc finger protein 727 (ZNF727)
ZNF728	388523	zf-C2H2	Homo sapiens	zinc finger protein 728 (ZNF728)
ZNF729	100287226	zf-C2H2	Homo sapiens	zinc finger protein 729 (ZNF729)
ZNF730	100129543	zf-C2H2	Homo sapiens	zinc finger protein 730 (ZNF730)
ZNF732	654254	zf-C2H2	Homo sapiens	zinc finger protein 732 (ZNF732)
ZNF736	728927	zf-C2H2	Homo sapiens	zinc finger protein 736 (ZNF736)
ZNF737	100129842	zf-C2H2	Homo sapiens	zinc finger protein 737 (ZNF737)
ZNF74	7625	zf-C2H2	Homo sapiens	zinc finger protein 74 (ZNF74)
ZNF740	283337	zf-C2H2	Homo sapiens	zinc finger protein 740 (ZNF740)
ZNF746	155061	zf-C2H2	Homo sapiens	zinc finger protein 746 (ZNF746)
ZNF747	65988	zf-C2H2	Homo sapiens	zinc finger protein 747 (ZNF747)
ZNF749	388567	zf-C2H2	Homo sapiens	zinc finger protein 749 (ZNF749)
ZNF75A	7627	zf-C2H2	Homo sapiens	zinc finger protein 75a (ZNF75A)
ZNF75D	7626	zf-C2H2	Homo sapiens	zinc finger protein 75D (ZNF75D)
ZNF76	7629	zf-C2H2	Homo sapiens	zinc finger protein 76 (ZNF76)
ZNF763	284390	zf-C2H2	Homo sapiens	zinc finger protein 763 (ZNF763)
ZNF764	92595	zf-C2H2	Homo sapiens	zinc finger protein 764 (ZNF764)
ZNF765	91661	zf-C2H2	Homo sapiens	zinc finger protein 765 (ZNF765)
ZNF766	90321	zf-C2H2	Homo sapiens	zinc finger protein 766 (ZNF766)
ZNF768	79724	zf-C2H2	Homo sapiens	zinc finger protein 768 (ZNF768)
ZNF77	58492	zf-C2H2	Homo sapiens	zinc finger protein 77 (ZNF77)
ZNF770	54989	zf-C2H2	Homo sapiens	zinc finger protein 770 (ZNF770)
ZNF771	51333	zf-C2H2	Homo sapiens	zinc finger protein 771 (ZNF771)
ZNF772	400720	zf-C2H2	Homo sapiens	zinc finger protein 772 (ZNF772)
ZNF773	374928	zf-C2H2	Homo sapiens	zinc finger protein 773 (ZNF773)
ZNF774	342132	zf-C2H2	Homo sapiens	zinc finger protein 774 (ZNF774)
ZNF775	285971	zf-C2H2	Homo sapiens	zinc finger protein 775 (ZNF775)
ZNF776	284309	zf-C2H2	Homo sapiens	zinc finger protein 776 (ZNF776)
ZNF777	27153	zf-C2H2	Homo sapiens	zinc finger protein 777 (ZNF777)
ZNF778	197320	zf-C2H2	Homo sapiens	zinc finger protein 778 (ZNF778)
ZNF780A	284323	zf-C2H2	Homo sapiens	zinc finger protein 780A (ZNF780A)
ZNF780B	163131	zf-C2H2	Homo sapiens	zinc finger protein 780B (ZNF780B)
ZNF781	163115	zf-C2H2	Homo sapiens	zinc finger protein 781 (ZNF781)
ZNF782	158431	zf-C2H2	Homo sapiens	zinc finger protein 782 (ZNF782)
ZNF783	100289678	zf-C2H2	Homo sapiens	zinc finger family member 783 (ZNF783)
ZNF784	147808	zf-C2H2	Homo sapiens	zinc finger protein 784 (ZNF784)
ZNF785	146540	zf-C2H2	Homo sapiens	zinc finger protein 785 (ZNF785)
ZNF786	136051	zf-C2H2	Homo sapiens	zinc finger protein 786 (ZNF786)
ZNF787	126208	zf-C2H2	Homo sapiens	zinc finger protein 787 (ZNF787)
ZNF788	388507	zf-C2H2	Homo sapiens	zinc finger family member 788 (ZNF788)
ZNF789	285989	zf-C2H2	Homo sapiens	zinc finger protein 789 (ZNF789)
ZNF79	7633	zf-C2H2	Homo sapiens	zinc finger protein 79 (ZNF79)
ZNF790	388536	zf-C2H2	Homo sapiens	zinc finger protein 790 (ZNF790)
ZNF791	163049	zf-C2H2	Homo sapiens	zinc finger protein 791 (ZNF791)
ZNF792	126375	zf-C2H2	Homo sapiens	zinc finger protein 792 (ZNF792)
ZNF793	390927	zf-C2H2	Homo sapiens	zinc finger protein 793 (ZNF793)
ZNF799	90576	zf-C2H2	Homo sapiens	zinc finger protein 799 (ZNF799)
ZNF8	7554	zf-C2H2	Homo sapiens	zinc finger protein 8 (ZNF8)
ZNF80	7634	zf-C2H2	Homo sapiens	zinc finger protein 80 (ZNF80)
ZNF800	168850	zf-C2H2	Homo sapiens	zinc finger protein 800 (ZNF800)
ZNF805	390980	zf-C2H2	Homo sapiens	zinc finger protein 805 (ZNF805)
ZNF808	388558	zf-C2H2	Homo sapiens	zinc finger protein 808 (ZNF808)
ZNF81	347344	zf-C2H2	Homo sapiens	zinc finger protein 81 (ZNF81)
ZNF812P	729648	zf-C2H2	Homo sapiens	zinc finger protein 812, pseudogene (ZNF812P)
ZNF813	126017	zf-C2H2	Homo sapiens	zinc finger protein 813 (ZNF813)
ZNF814	730051	zf-C2H2	Homo sapiens	zinc finger protein 814 (ZNF814)
ZNF816	125893	zf-C2H2	Homo sapiens	zinc finger protein 816 (ZNF816)
ZNF823	55552	zf-C2H2	Homo sapiens	zinc finger protein 823 (ZNF823)
ZNF827	152485	zf-C2H2	Homo sapiens	zinc finger protein 827 (ZNF827)
ZNF829	374899	zf-C2H2	Homo sapiens	zinc finger protein 829 (ZNF829)
ZNF83	55769	zf-C2H2	Homo sapiens	zinc finger protein 83 (ZNF83)
ZNF831	128611	zf-C2H2	Homo sapiens	zinc finger protein 831 (ZNF831)
ZNF835	90485	zf-C2H2	Homo sapiens	zinc finger protein 835 (ZNF835)
ZNF836	162962	zf-C2H2	Homo sapiens	zinc finger protein 836 (ZNF836)
ZNF837	116412	zf-C2H2	Homo sapiens	zinc finger protein 837 (ZNF837)
ZNF84	7637	zf-C2H2	Homo sapiens	zinc finger protein 84 (ZNF84)
ZNF841	284371	zf-C2H2	Homo sapiens	zinc finger protein 841 (ZNF841)
ZNF844	284391	zf-C2H2	Homo sapiens	zinc finger protein 844 (ZNF844)
ZNF845	91664	zf-C2H2	Homo sapiens	zinc finger protein 845 (ZNF845)
ZNF846	162993	zf-C2H2	Homo sapiens	zinc finger protein 846 (ZNF846)
ZNF85	7639	zf-C2H2	Homo sapiens	zinc finger protein 85 (ZNF85)
ZNF850	342892	zf-C2H2	Homo sapiens	zinc finger protein 850 (ZNF850)
ZNF852	285346	zf-C2H2	Homo sapiens	zinc finger protein 852 (ZNF852)
ZNF853	54753	zf-C2H2	Homo sapiens	zinc finger protein 853 (ZNF853)
ZNF860	344787	zf-C2H2	Homo sapiens	zinc finger protein 860 (ZNF860)
ZNF865	100507290	zf-C2H2	Homo sapiens	zinc finger protein 865 (ZNF865)
ZNF878	729747	zf-C2H2	Homo sapiens	zinc finger protein 878 (ZNF878)
ZNF879	345462	zf-C2H2	Homo sapiens	zinc finger protein 879 (ZNF879)
ZNF880	400713	zf-C2H2	Homo sapiens	zinc finger protein 880 (ZNF880)
ZNF891	101060200	zf-C2H2	Homo sapiens	zinc finger protein 891 (ZNF891)
ZNF90	7643	zf-C2H2	Homo sapiens	zinc finger protein 90 (ZNF90)
ZNF91	7644	zf-C2H2	Homo sapiens	zinc finger protein 91 (ZNF91)
ZNF92	168374	zf-C2H2	Homo sapiens	zinc finger protein 92 (ZNF92)
ZNF93	81931	zf-C2H2	Homo sapiens	zinc finger protein 93 (ZNF93)
ZNF98	148198	zf-C2H2	Homo sapiens	zinc finger protein 98 (ZNF98)
ZNF99	7652	zf-C2H2	Homo sapiens	zinc finger protein 99 (ZNF99)
ZSCAN1	284312	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 1 (ZSCAN1)
ZSCAN10	84891	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 10 (ZSCAN10)
ZSCAN12	9753	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 12 (ZSCAN12)
ZSCAN16	80345	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 16 (ZSCAN16)
ZSCAN18	65982	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 18 (ZSCAN18)
ZSCAN2	54993	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 2 (ZSCAN2)
ZSCAN20	7579	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 20 (ZSCAN20)
ZSCAN21	7589	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 21 (ZSCAN21)
ZSCAN22	342945	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 22 (ZSCAN22)
ZSCAN23	222696	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 23 (ZSCAN23)
ZSCAN25	221785	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 25 (ZSCAN25)
ZSCAN29	146050	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 29 (ZSCAN29)
ZSCAN30	100101467	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 30 (ZSCAN30)
ZSCAN31	64288	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 31 (ZSCAN31)
ZSCAN32	54925	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 32 (ZSCAN32)
ZSCAN4	201516	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 4 (ZSCAN4)
ZSCAN5A	79149	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 5A (ZSCAN5A)
ZSCAN5B	342933	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 5B (ZSCAN5B)
ZSCAN5D	646698	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 5D (ZSCAN5D)
ZSCAN9	7746	zf-C2H2	Homo sapiens	zinc finger and SCAN domain containing 9 (ZSCAN9)
ZXDA	7789	zf-C2H2	Homo sapiens	zinc finger, X-linked, duplicated A (ZXDA)
ZXDB	158586	zf-C2H2	Homo sapiens	zinc finger, X-linked, duplicated B (ZXDB)
ZXDC	79364	zf-C2H2	Homo sapiens	ZXD family zinc finger C (ZXDC)
KAT7	11143	zf-C2HC	Homo sapiens	lysine acetyltransferase 7 (KAT7)
L3MBTL1	26013	zf-C2HC	Homo sapiens	l (3)mbt-like 1 (Drosophila) (L3MBTL1)
L3MBTL4	91133	zf-C2HC	Homo sapiens	l (3)mbt-like 4 (Drosophila) (L3MBTL4)
MYT1	4661	zf-C2HC	Homo sapiens	myelin transcription factor 1 (MYT1)
MYT1L	23040	zf-C2HC	Homo sapiens	myelin transcription factor 1 like (MYT1L)
ST18	9705	zf-C2HC	Homo sapiens	suppression of tumorigenicity 18, zinc finger (ST18)
GATA1	2623	zf-GATA	Homo sapiens	GATA binding protein 1 (GATA1)
GATA2	2624	zf-GATA	Homo sapiens	GATA binding protein 2 (GATA2)
GATA3	2625	zf-GATA	Homo sapiens	GATA binding protein 3 (GATA3)
GATA4	2626	zf-GATA	Homo sapiens	GATA binding protein 4 (GATA4)
GATA5	140628	zf-GATA	Homo sapiens	GATA binding protein 5 (GATA5)
GATA6	2627	zf-GATA	Homo sapiens	GATA binding protein 6 (GATA6)
GATAD2B	57459	zf-GATA	Homo sapiens	GATA zinc finger domain containing 2B (GATAD2B)
MTA1	9112	zf-GATA	Homo sapiens	metastasis associated 1 (MTA1)
MTA2	9219	zf-GATA	Homo sapiens	metastasis associated 1 family member 2 (MTA2)
MTA3	57504	zf-GATA	Homo sapiens	metastasis associated 1 family member 3 (MTA3)
RERE	473	zf-GATA	Homo sapiens	arginine-glutamic acid dipeptide (RE) repeats (RERE)
TRPS1	7227	zf-GATA	Homo sapiens	transcriptional repressor GATA binding 1 (TRPS1)
ZGLP1	100125288	zf-GATA	Homo sapiens	zinc finger, GATA-like protein 1 (ZGLP1)
CDIP1	29965	zf-LITAF-like	Homo sapiens	cell death-inducing p53 target 1 (CDIP1)
LITAF	9516	zf-LITAF-like	Homo sapiens	lipopolysaccharide-induced TNF factor (LITAF)
PIAS1	8554	zf-MIZ	Homo sapiens	protein inhibitor of activated STAT 1 (PIAS1)
PIAS2	9063	zf-MIZ	Homo sapiens	protein inhibitor of activated STAT 2 (PIAS2)
PIAS3	10401	zf-MIZ	Homo sapiens	protein inhibitor of activated STAT 3 (PIAS3)
PIAS4	51588	zf-MIZ	Homo sapiens	protein inhibitor of activated STAT 4 (PIAS4)
RNF138	51444	zf-MIZ	Homo sapiens	ring finger protein 138, E3 ubiquitin protein ligase (RNF138)
ZMIZ1	57178	zf-MIZ	Homo sapiens	zinc finger MIZ-type containing 1 (ZMIZ1)
ZMIZ2	83637	zf-MIZ	Homo sapiens	zinc finger MIZ-type containing 2 (ZMIZ2)
NFX1	4799	zf-NF-X1	Homo sapiens	nuclear transcription factor, X-box binding 1 (NFX1)
NFXL1	152518	zf-NF-X1	Homo sapiens	nuclear transcription factor, X-box binding like 1 (NFXL1)
